index,path,error
2,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (10)_4.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
4,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (100)_12.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
8,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (1001)_8.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
10,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (1002)_3.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
12,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (1004)_9.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
14,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (1005)_8.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
15,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (1005)_9.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
20,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (101)_2.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
22,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (1010)_11.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
27,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (1015)_11.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
33,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (102)_12.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
41,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (110)_8.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
42,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (111)_12.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
55,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (129)_9.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
56,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (13)_7.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
57,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (13)_8.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
62,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (135)_11.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
65,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (137)_11.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
75,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (148)_1.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
82,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (151)_7.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
86,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (155)_11.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
88,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (156)_10.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
98,O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (169)_2.jpg,"Transformed image size torch.Size([201, 201]) != (224, 224)"
